agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,2,28,-691.3939478551174,-0.07390177871865274,7860.0,125.0
Q-Learning,2,29,-700.131670194949,-0.07281435283192995,7980.0,120.0
Q-Learning,2,30,-708.1693925347806,-0.07113028619319997,8093.0,113.0
Q-Learning,2,31,-740.0071148746125,-0.09070576165194259,8444.0,351.0
Q-Learning,2,32,-749.2448372144441,-0.07390177871865274,8569.0,125.0
Q-Learning,2,33,-753.6825595542757,-0.05763275766015077,8646.0,77.0
Q-Learning,2,34,-758.7202818941073,-0.06069544987748924,8729.0,83.0
Q-Learning,2,35,-758.4580042339389,0.008742588672279276,8759.0,30.0
Q-Learning,2,36,-762.4957265737705,-0.055311264929200146,8832.0,73.0
Q-Learning,2,37,-770.7334489136022,-0.07163236817244865,8947.0,115.0
Q-Learning,2,38,-777.4711712534338,-0.067377223398316,9047.0,100.0
Q-Learning,2,39,-782.0088935932654,-0.058175927433738575,9125.0,78.0
Q-Learning,2,40,-790.8466159330969,-0.073039027601914,9246.0,121.0
Q-Learning,2,41,-798.0843382729286,-0.06893068895077713,9351.0,105.0
Q-Learning,2,42,-803.8220606127602,-0.06375247044257339,9441.0,90.0
Q-Learning,2,43,-809.8597829525918,-0.06492174558958713,9534.0,93.0
Q-Learning,2,44,-818.4975052924234,-0.07258590201539154,9653.0,119.0
Q-Learning,2,45,-819.835227632255,-0.029080920431122183,9699.0,46.0
Q-Learning,2,46,-825.2729499720866,-0.06250255563024834,9786.0,87.0
Q-Learning,2,47,-840.6106723119183,-0.08246087279479362,9972.0,186.0
Q-Learning,2,48,-842.4483946517499,-0.03603377136924742,10023.0,51.0
Q-Learning,2,49,-849.1861169915816,-0.067377223398316,10123.0,100.0
Q-Learning,2,50,-849.7238393314132,-0.014150587890305854,10161.0,38.0
Q-Learning,2,51,-859.9615616712448,-0.0758349802950488,10296.0,135.0
Q-Learning,2,52,-869.9992840110764,-0.07547159654008713,10429.0,133.0
Q-Learning,2,53,-869.637006350908,0.012492333109254426,10458.0,29.0
Q-Learning,2,54,-886.0747286907397,-0.0834402149230032,10655.0,197.0
Q-Learning,2,55,-887.9124510305713,-0.03603377136924742,10706.0,51.0
Q-Learning,2,56,-890.650173370403,-0.04562870566386026,10766.0,60.0
Q-Learning,2,57,-896.0878957102345,-0.06250255563024834,10853.0,87.0
